title,genres,product rating,user score,user ratings count,platform,metascore,metascore_count,img,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release date,last_update
Mario Sports Superstars,Sports,Rated E For Everyone,7.1,50.0,3DS,62,45,/games/boxart/full_4077511AmericaFrontccc.jpg,Nintendo,Namco Bandai Games,6.0,0.46,0.18,0.13,0.12,0.03,2017-03-24,2018-01-20
Chili Con Carnage,Third Person Shooter,Rated M For Mature,7.5,31.0,PSP,74,37,/games/boxart/3491321ccc.jpg,Eidos Interactive,Deadline Games,,0.02,,,0.02,0.01,2007-02-27,
Year Walk,First-Person Adventure,,7.5,58.0,PC,87,8,/games/boxart/default.jpg,Simogo,Simogo,,,,,,,2014-03-06,2018-01-05
Year Walk,First-Person Adventure,,7.5,58.0,WiiU,82,12,/games/boxart/full_2489738AmericaFrontccc.png,Simogo,Simogo,,,,,,,2015-09-17,2018-01-05
Hatsune Miku: Project Mirai DX,Rhythm,,8.2,99.0,3DS,80,32,/games/boxart/full_9401714AmericaFrontccc.jpg,Sega,Sega,7.5,0.38,0.2,0.11,0.04,0.03,2015-09-08,2018-05-29
Madden NFL 11,Football Sim,Rated E For Everyone,6.4,92.0,Wii,75,6,/games/boxart/full_madden-nfl-11_9AmericaFront.jpg,EA Sports,EA Tiburon,6.8,0.73,0.68,,,0.05,2010-08-10,
Madden NFL 11,Football Sim,Rated E For Everyone,6.4,92.0,X360,84,47,/games/boxart/full_madden-nfl-11_8AmericaFront.jpg,EA Sports,EA Tiburon,8.3,2.69,2.38,,0.12,0.19,2010-08-10,
Madden NFL 11,Football Sim,Rated E For Everyone,6.4,92.0,PS3,83,36,/games/boxart/full_madden-nfl-11_1AmericaFront.jpg,EA Sports,EA Tiburon,8.4,2.4,2.05,,0.15,0.2,2010-08-10,
Madden NFL 11,Football Sim,Rated E For Everyone,6.4,92.0,PSP,tbd,1,/games/boxart/full_madden-nfl-11_2AmericaFront.jpg,EA Sports,EA Tiburon,,0.39,0.36,,,0.03,2010-08-10,
Space Giraffe,Top-Down Shoot-'Em-Up,Rated E For Everyone,8.5,,PC,tbd,1,/games/boxart/full_1248958AmericaFrontccc.jpg,Llamasoft,Llamasoft,,,,,,,2009-03-19,
Cannon Spike,Top-Down Shoot-'Em-Up,Rated T For Teen,8.1,8.0,DC,73,17,/games/boxart/9904248ccc.jpg,Capcom,Unknown,8.2,,,,,,2000-11-14,
Tokyo Mirage Sessions #FE,JRPG,Rated T For Teen,7.9,413.0,WiiU,80,64,/games/boxart/full_3302971AmericaFrontccc.jpg,Nintendo,Atlus,8.0,0.33,0.17,0.08,0.06,0.02,2016-06-24,2020-07-23
FIFA Soccer 11,Soccer Sim,Rated E For Everyone,7.5,175.0,PS3,89,51,/games/boxart/full_fifa-soccer-11_6AmericaFront.jpg,EA Sports,EA Canada,8.7,5.08,0.61,0.06,3.28,1.12,2010-09-28,
FIFA Soccer 11,Soccer Sim,Rated E For Everyone,7.5,175.0,PC,83,16,/games/boxart/full_fifa-soccer-11_9PALFront.jpg,EA Sports,HB Studios,8.4,0.18,,,0.15,0.03,2010-09-28,
FIFA Soccer 11,Soccer Sim,Rated E For Everyone,7.5,175.0,X360,88,66,/games/boxart/full_fifa-soccer-11_8AmericaFront.jpg,EA Sports,EA Canada,8.7,3.52,0.71,0.02,2.39,0.4,2010-09-28,
FIFA Soccer 11,Soccer Sim,Rated E For Everyone,7.5,175.0,Wii,73,17,/games/boxart/full_fifa-soccer-11_9AmericaFront.jpg,EA Sports,EA Canada,7.0,1.08,0.26,,0.69,0.12,2010-09-28,
FIFA Soccer 11,Soccer Sim,Rated E For Everyone,7.5,175.0,PSP,68,6,/games/boxart/full_fifa-soccer-11_0AmericaFront.jpg,EA Sports,HB Studios,7.0,1.21,0.13,0.01,0.7,0.36,2010-09-28,
FIFA Soccer 11,Soccer Sim,Rated E For Everyone,7.5,175.0,DS,63,5,/games/boxart/full_fifa-soccer-11_10AmericaFront.jpg,EA Sports,Exient Entertainment,7.0,0.7,0.13,,0.49,0.08,2010-09-28,
Galactic Civilizations III,4X Strategy,Rated E +10 For Everyone +10,7.0,258.0,PC,81,31,/games/boxart/full_9604548PALFrontccc.jpg,Stardock,Stardock,,,,,,,2015-05-14,2018-11-23
SingStar Rocks!,Rhythm,Rated E +10 For Everyone +10,6.0,6.0,PS2,69,32,/games/boxart/full_singstar-rocks_275AmericaFront.jpg,Sony Computer Entertainment,SCEE London Studio,,1.1,,,0.84,0.25,2006-11-14,
Worms World Party,Artillery,Rated E For Everyone,8.4,15.0,DC,79,10,/games/boxart/844751ccc.jpg,Titus,Team17 Software,,,,,,,2001-06-03,
Worms World Party,Artillery,Rated E For Everyone,8.4,15.0,PC,75,8,/games/boxart/5832998ccc.jpg,Titus,Team17 Software,,,,,,,2001-06-16,
Worms World Party,Artillery,Rated E For Everyone,8.4,15.0,GBA,75,4,/games/boxart/full_2814691AmericaFrontccc.jpg,Ubisoft,Team17 Software,,0.05,0.04,,0.01,0.0,2002-10-29,
Kingdom Hearts II,Action RPG,Rated E +10 For Everyone +10,9.0,1229.0,PS2,87,64,/games/boxart/full_282541AmericaFrontccc.jpg,Square Enix,Square Enix,8.3,,,,,,2006-03-28,
Observation,Adventure,Rated M For Mature,6.5,87.0,PC,79,31,/games/boxart/full_711555AmericaFrontccc.jpg,Devolver Digital,No Code,,,,,,,2019-05-21,2019-05-02
Observation,Adventure,Rated M For Mature,6.5,87.0,PS4,75,47,/games/boxart/full_1121189AmericaFrontccc.jpg,Devolver Digital,No Code,,,,,,,2019-05-21,2019-05-02
Hyperdimension Neptunia Re;Birth1,JRPG,Rated T For Teen,7.8,117.0,PSV,69,16,/games/boxart/full_1032938AmericaFrontccc.jpg,Idea Factory,Idea Factory,,0.14,0.05,0.07,,0.02,2014-08-26,2018-12-03
Hyperdimension Neptunia Re;Birth1,JRPG,Rated T For Teen,7.8,117.0,PC,72,4,/games/boxart/full_8456609AmericaFrontccc.jpg,Unknown,Compile Heart,,,,,,,8/26/2014,2019-02-10
Persona Q: Shadow of the Labyrinth,JRPG,Rated M For Mature,5.8,431.0,3DS,83,56,/games/boxart/full_7632143AmericaFrontccc.jpg,Atlus,Atlus,8.3,,,,,,2014-11-25,2018-01-07
Dungeons 2,Strategy,Rated T For Teen,7.2,102.0,PC,70,24,/games/boxart/full_4215233AmericaFrontccc.jpg,Kalypso Media,Realmforge Studios,,0.0,,,0.0,0.0,2015-04-24,
Dungeons 2,Strategy,Rated T For Teen,7.2,102.0,PS4,61,9,/games/boxart/full_7659979AmericaFrontccc.jpg,Kalypso Media,Realmforge Studios,,0.02,0.02,,,0.0,2016-04-26,2018-02-06
Marvel Nemesis: Rise of the Imperfects,3D Fighting,Rated T For Teen,8.6,7.0,XB,58,34,/games/boxart/4690142ccc.jpg,Electronic Arts,Nihilistic Software,,0.28,0.21,,0.06,0.01,2005-09-20,
Marvel Nemesis: Rise of the Imperfects,3D Fighting,Rated T For Teen,8.6,7.0,PSP,58,15,/games/boxart/full_3996458AmericaFrontccc.jpg,Electronic Arts,Team Fusion,6.8,0.32,0.29,,0.0,0.02,2005-10-04,
Marvel Nemesis: Rise of the Imperfects,3D Fighting,Rated T For Teen,8.6,7.0,GC,54,19,/games/boxart/full_9174019AmericaFrontccc.jpg,Electronic Arts,Nihilistic Software,6.0,0.38,0.3,,0.08,0.01,2005-09-20,
Marvel Nemesis: Rise of the Imperfects,3D Fighting,Rated T For Teen,8.6,7.0,PS2,53,30,/games/boxart/1209045ccc.jpg,Electronic Arts,Nihilistic Software,,0.77,0.64,,0.02,0.1,2005-09-20,
Marvel Nemesis: Rise of the Imperfects,3D Fighting,Rated T For Teen,8.6,7.0,DS,34,6,/games/boxart/5005842ccc.gif,Electronic Arts,Sensory Sweep Studios,,0.08,0.08,,0.0,0.01,2005-10-11,
Etherlords II,Turn-Based Strategy,Rated T For Teen,8.4,70.0,PC,78,17,/games/boxart/full_etherlords-ii_407AmericaFront.jpg,Strategy First,Nival Interactive,,,,,,,2003-09-30,
The Last Guardian,Linear Action Adventure,Rated T For Teen,7.9,2815.0,PS4,82,118,/games/boxart/full_6724026AmericaFrontccc.jpg,Sony Interactive Entertainment,SIE Japan Studio,7.9,1.29,0.4,0.13,0.58,0.19,2016-12-06,2018-04-04
NBA Live 2005,Basketball Sim,Rated E For Everyone,,,XB,85,28,/games/boxart/full_6133105AmericaFrontccc.jpg,EA Sports,EA Canada,,0.9,0.81,,0.05,0.04,2004-09-28,
NBA Live 2005,Basketball Sim,Rated E For Everyone,,,GC,83,17,/games/boxart/full_5451585AmericaFrontccc.jpg,EA Sports,EA Canada,8.5,0.45,0.35,,0.09,0.01,2004-09-28,
